Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C31",CP_Elec_6.3x7.7,2,100u,
"C10, C14, C17, C19, C2, C22, C23, C24, C25, C26, C27, C28, C29, C32, C33, C35, C36, C37, C5, C9",0603,20,100n,
"C11, C21",0805,2,10u,
"C12, C13",0603,2,18p,
"C15, C18, C20, C30, C34, C4, C6",0603,7,10u,
C16,0603,1,1u,
C3,CP_EIA-3216-10_Kemet-I_HandSolder,1,22u,
C38,0603,1,4.7nF  2kV,
C39,0603,1,4.7nF 2kV,
C40,0603,1,1nF  2kV,
C7,1206,1,4.7u,
C8,0603,1,10n,
D1,TO-269AA,1,MB6S,
D2,D_SMA,1,SMAJ58CA,
D4,1206,1,LED,
F1,0805,1,Polyfuse 750mA,
FB1,0805,1,FerriteBead,
IC1,ESP32S3WROOM1UN16R8,1,ESP32-S3-WROOM-1U-N16R8,
IC2,IRSD200ST00R1,1,IRS-D200ST00R1,
J1,BEL_SI-46020-F,1,SI-46020-F,
J2,MOLEX_2171820001,1,USB_C_Receptacle_USB2.0_16P,
J3,PinSocket_1x05_P1.27mm_Vertical,1,Mmwave,
J4,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Right,1,MIC_L,
J5,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Right,1,MIC_R,
LED1,ASMTYTD20BB02,1,ASMT-YTD2-0BB02,
"R1, R2, R3, R4",0603,4,33,
"R10, R11, R12, R20, R21",0603,5,330,
R13,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,R_Photo,
"R14, R16, R17, R23, R24, R25, R31, R7, R8, R9",0603,10,10k,
"R15, R22",0603,2,22,
"R18, R19",0603,2,3k,
"R26, R27",0603,2,100k,
R28,0603,1,0,
"R29, R30, R6",0603,3,1M,
R5,0603,1,12.4k,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,Restart,
SW2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,Boot,
TP1,TestPoint_Pad_2.0x2.0mm,1,PoE,
TP2,TestPoint_Pad_2.0x2.0mm,1,5V,
TP3,TestPoint_Pad_2.0x2.0mm,1,3.3V,
TP4,TestPoint_Pad_2.0x2.0mm,1,USB_5V,
TP5,TestPoint_Pad_2.0x2.0mm,1,GND,
U1,LQFP-48_7x7mm_P0.5mm,1,W5500,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,Converter_DCDC_Silvertel_Ag99xxLP_THT,1,Ag9905LP,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
U5,SOT-583-8,1,TPS2116DRL,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
